project_id,state,district,latitude,longitude,project_type,budget_crore,progress_percent,status,start_date,expected_completion
40,Maharashtra,Nagpur,21.1458,79.0882,Smart City Infrastructure,246,81,Near Completion,2024-02-10,2025-08-04
41,Maharashtra,Nagpur,21.1458,79.0882,Smart City Infrastructure,227,71,Near Completion,2024-10-04,2025-07-26
42,Maharashtra,Nagpur,21.1458,79.0882,Water Supply Project,188,22,Ongoing,2023-11-07,2024-10-13
43,Maharashtra,Nagpur,21.1458,79.0882,Solar Power Plant,248,67,Ongoing,2025-09-26,2026-07-18
44,Maharashtra,Nagpur,21.1458,79.0882,School Infrastructure,226,9,Ongoing,2025-09-10,2027-05-31
45,Maharashtra,Nagpur,21.1458,79.0882,Water Supply Project,472,24,Ongoing,2025-09-05,2028-01-19
46,Maharashtra,Nashik,19.9975,73.7898,Solar Power Plant,50,34,Ongoing,2024-09-15,2026-06-04
47,Maharashtra,Nashik,19.9975,73.7898,Solar Power Plant,108,31,Ongoing,2024-08-09,2025-02-28
48,Maharashtra,Nashik,19.9975,73.7898,Metro Expansion,87,92,Near Completion,2023-11-25,2025-05-18
49,Maharashtra,Nashik,19.9975,73.7898,Road Construction,175,84,Near Completion,2025-07-18,2027-07-25
50,Maharashtra,Nashik,19.9975,73.7898,Hospital Development,236,36,Ongoing,2024-08-31,2026-10-27
51,Maharashtra,Nashik,19.9975,73.7898,Solar Power Plant,127,42,Ongoing,2023-08-06,2025-07-23
52,Maharashtra,Nashik,19.9975,73.7898,Road Construction,464,91,Near Completion,2024-07-09,2025-08-04
53,Maharashtra,Nashik,19.9975,73.7898,Water Supply Project,153,9,Ongoing,2023-08-07,2025-09-08
54,Maharashtra,Nashik,19.9975,73.7898,Water Supply Project,258,95,Near Completion,2024-09-08,2025-07-23
55,Maharashtra,Nashik,19.9975,73.7898,Smart City Infrastructure,286,79,Near Completion,2025-07-25,2028-01-07
56,Maharashtra,Nashik,19.9975,73.7898,Bridge Construction,263,16,Ongoing,2024-10-14,2025-09-24
57,Maharashtra,Nashik,19.9975,73.7898,School Infrastructure,273,71,Near Completion,2024-06-07,2025-11-01
58,Maharashtra,Aurangabad,19.8762,75.3433,Solar Power Plant,238,93,Near Completion,2024-12-26,2026-05-25
59,Maharashtra,Aurangabad,19.8762,75.3433,Road Construction,35,19,Ongoing,2024-03-06,2025-08-12
60,Maharashtra,Aurangabad,19.8762,75.3433,Road Construction,146,70,Ongoing,2025-09-18,2028-01-31
61,Maharashtra,Aurangabad,19.8762,75.3433,Smart City Infrastructure,169,73,Near Completion,2024-11-13,2026-12-02
62,Maharashtra,Aurangabad,19.8762,75.3433,School Infrastructure,360,90,Near Completion,2025-10-10,2028-01-01
63,Maharashtra,Aurangabad,19.8762,75.3433,Metro Expansion,83,7,Ongoing,2023-06-29,2024-03-31
64,Maharashtra,Kolhapur,16.705,74.2433,Smart City Infrastructure,21,86,Near Completion,2024-09-30,2026-08-18
65,Maharashtra,Kolhapur,16.705,74.2433,School Infrastructure,423,18,Ongoing,2025-07-03,2027-04-22
66,Maharashtra,Kolhapur,16.705,74.2433,Smart City Infrastructure,449,37,Ongoing,2025-08-08,2026-12-11
67,Maharashtra,Kolhapur,16.705,74.2433,Hospital Development,308,36,Ongoing,2024-07-14,2026-07-15
68,Maharashtra,Kolhapur,16.705,74.2433,Water Supply Project,364,79,Near Completion,2024-11-17,2026-01-01
69,Maharashtra,Kolhapur,16.705,74.2433,Hospital Development,390,50,Ongoing,2024-04-04,2024-11-09
70,Maharashtra,Kolhapur,16.705,74.2433,Smart City Infrastructure,488,34,Ongoing,2023-11-14,2026-04-09
71,Maharashtra,Kolhapur,16.705,74.2433,Hospital Development,261,79,Near Completion,2023-12-24,2025-09-03
72,Maharashtra,Kolhapur,16.705,74.2433,Bridge Construction,299,70,Ongoing,2025-04-27,2026-06-22
73,Maharashtra,Kolhapur,16.705,74.2433,School Infrastructure,270,90,Near Completion,2024-12-12,2026-11-21
74,Maharashtra,Kolhapur,16.705,74.2433,School Infrastructure,381,83,Near Completion,2024-10-06,2026-05-29
75,Maharashtra,Kolhapur,16.705,74.2433,Bridge Construction,383,83,Near Completion,2025-08-14,2027-07-26
76,Maharashtra,Kolhapur,16.705,74.2433,Bridge Construction,397,83,Near Completion,2023-07-31,2024-02-23
77,Maharashtra,Kolhapur,16.705,74.2433,Road Construction,247,59,Ongoing,2024-03-14,2024-12-06
78,Maharashtra,Kolhapur,16.705,74.2433,Water Supply Project,155,61,Ongoing,2024-10-03,2027-03-18
79,Maharashtra,Solapur,17.6599,75.9064,School Infrastructure,132,70,Ongoing,2025-10-31,2027-06-20
80,Maharashtra,Solapur,17.6599,75.9064,School Infrastructure,53,67,Ongoing,2025-08-31,2026-06-21
81,Maharashtra,Solapur,17.6599,75.9064,Bridge Construction,162,55,Ongoing,2025-07-31,2027-04-05
82,Maharashtra,Solapur,17.6599,75.9064,Water Supply Project,91,12,Ongoing,2025-08-04,2027-08-14
83,Maharashtra,Solapur,17.6599,75.9064,Hospital Development,381,20,Ongoing,2023-06-19,2024-11-09
84,Maharashtra,Solapur,17.6599,75.9064,Smart City Infrastructure,258,92,Near Completion,2025-06-26,2027-02-18
85,Maharashtra,Solapur,17.6599,75.9064,Bridge Construction,474,87,Near Completion,2024-08-27,2025-08-13
86,Maharashtra,Solapur,17.6599,75.9064,Solar Power Plant,229,7,Ongoing,2025-08-05,2028-01-07
87,Maharashtra,Solapur,17.6599,75.9064,Road Construction,374,52,Ongoing,2024-05-11,2026-07-23
88,Maharashtra,Solapur,17.6599,75.9064,Metro Expansion,410,99,Near Completion,2024-03-17,2026-08-09
89,Maharashtra,Solapur,17.6599,75.9064,Road Construction,404,42,Ongoing,2025-05-25,2026-11-15
90,Maharashtra,Solapur,17.6599,75.9064,School Infrastructure,96,72,Near Completion,2023-07-19,2024-09-07
91,Maharashtra,Solapur,17.6599,75.9064,Smart City Infrastructure,213,78,Near Completion,2025-07-13,2027-05-10
92,Maharashtra,Solapur,17.6599,75.9064,School Infrastructure,360,50,Ongoing,2025-06-08,2027-08-23
93,Maharashtra,Solapur,17.6599,75.9064,Metro Expansion,392,67,Ongoing,2024-03-07,2026-01-13
94,Karnataka,Bengaluru,12.9716,77.5946,Bridge Construction,447,17,Ongoing,2025-08-19,2027-05-15
95,Karnataka,Bengaluru,12.9716,77.5946,Smart City Infrastructure,458,42,Ongoing,2025-05-31,2027-09-20
96,Karnataka,Bengaluru,12.9716,77.5946,Water Supply Project,92,87,Near Completion,2024-04-18,2025-12-01
97,Karnataka,Bengaluru,12.9716,77.5946,Bridge Construction,347,41,Ongoing,2024-06-16,2025-08-05
98,Karnataka,Bengaluru,12.9716,77.5946,Road Construction,360,56,Ongoing,2024-10-26,2026-04-11
99,Karnataka,Bengaluru,12.9716,77.5946,Water Supply Project,172,59,Ongoing,2024-03-21,2025-08-06
100,Karnataka,Bengaluru,12.9716,77.5946,Road Construction,27,6,Ongoing,2025-04-02,2027-07-18
101,Karnataka,Bengaluru,12.9716,77.5946,Smart City Infrastructure,424,31,Ongoing,2025-11-20,2027-07-16
102,Karnataka,Bengaluru,12.9716,77.5946,Metro Expansion,442,5,Ongoing,2024-04-22,2026-05-19
103,Karnataka,Bengaluru,12.9716,77.5946,School Infrastructure,484,34,Ongoing,2024-03-05,2025-01-07
104,Karnataka,Bengaluru,12.9716,77.5946,Smart City Infrastructure,243,41,Ongoing,2025-10-27,2027-05-12
105,Karnataka,Bengaluru,12.9716,77.5946,Smart City Infrastructure,446,29,Ongoing,2023-12-10,2024-09-03
106,Karnataka,Bengaluru,12.9716,77.5946,Road Construction,205,55,Ongoing,2024-11-25,2026-04-21
107,Karnataka,Mysuru,12.2958,76.6394,Metro Expansion,380,35,Ongoing,2023-09-08,2025-01-13
108,Karnataka,Mysuru,12.2958,76.6394,School Infrastructure,492,79,Near Completion,2025-05-31,2026-11-20
109,Karnataka,Mysuru,12.2958,76.6394,Smart City Infrastructure,392,91,Near Completion,2024-10-09,2025-07-26
110,Karnataka,Mysuru,12.2958,76.6394,Solar Power Plant,293,6,Ongoing,2024-06-14,2026-10-14
111,Karnataka,Mysuru,12.2958,76.6394,Smart City Infrastructure,427,58,Ongoing,2025-07-13,2027-04-13
112,Karnataka,Mangaluru,12.9141,74.856,Road Construction,287,24,Ongoing,2023-12-28,2025-04-13
113,Karnataka,Mangaluru,12.9141,74.856,Smart City Infrastructure,496,75,Near Completion,2024-12-17,2026-07-01
114,Karnataka,Mangaluru,12.9141,74.856,Water Supply Project,419,50,Ongoing,2024-04-05,2026-03-12
115,Karnataka,Mangaluru,12.9141,74.856,Metro Expansion,112,48,Ongoing,2023-09-08,2025-01-31
116,Karnataka,Mangaluru,12.9141,74.856,Solar Power Plant,289,37,Ongoing,2025-08-18,2027-06-10
117,Karnataka,Mangaluru,12.9141,74.856,Metro Expansion,279,99,Near Completion,2023-10-24,2025-07-20
118,Karnataka,Mangaluru,12.9141,74.856,Smart City Infrastructure,36,10,Ongoing,2023-08-29,2024-11-07
119,Karnataka,Mangaluru,12.9141,74.856,School Infrastructure,304,86,Near Completion,2024-08-30,2026-09-01
120,Karnataka,Hubli,15.3647,75.124,Road Construction,359,9,Ongoing,2024-06-10,2026-11-10
121,Karnataka,Hubli,15.3647,75.124,Smart City Infrastructure,155,71,Near Completion,2024-08-10,2025-11-20
122,Karnataka,Hubli,15.3647,75.124,Bridge Construction,480,23,Ongoing,2024-02-09,2025-07-16
123,Karnataka,Hubli,15.3647,75.124,Smart City Infrastructure,68,49,Ongoing,2023-12-29,2025-07-19
124,Karnataka,Hubli,15.3647,75.124,School Infrastructure,409,16,Ongoing,2024-09-08,2026-04-28
125,Karnataka,Hubli,15.3647,75.124,Water Supply Project,249,4,Ongoing,2025-01-16,2026-10-24
126,Karnataka,Hubli,15.3647,75.124,Road Construction,26,58,Ongoing,2025-09-15,2026-04-06
127,Karnataka,Hubli,15.3647,75.124,Road Construction,66,16,Ongoing,2025-11-17,2027-07-19
128,Karnataka,Hubli,15.3647,75.124,Hospital Development,488,43,Ongoing,2025-02-06,2025-09-24
129,Karnataka,Hubli,15.3647,75.124,Smart City Infrastructure,73,80,Near Completion,2023-10-20,2025-01-28
130,Karnataka,Hubli,15.3647,75.124,Hospital Development,500,29,Ongoing,2025-06-14,2027-01-30
131,Karnataka,Belagavi,15.8497,74.4977,Road Construction,70,56,Ongoing,2025-07-16,2026-03-15
132,Karnataka,Belagavi,15.8497,74.4977,Solar Power Plant,54,94,Near Completion,2024-12-06,2025-10-31
133,Karnataka,Belagavi,15.8497,74.4977,Hospital Development,158,62,Ongoing,2024-02-29,2025-09-03
134,Karnataka,Belagavi,15.8497,74.4977,Road Construction,147,98,Near Completion,2024-06-05,2025-10-18
135,Karnataka,Belagavi,15.8497,74.4977,Hospital Development,317,62,Ongoing,2024-05-31,2026-07-03
136,Karnataka,Belagavi,15.8497,74.4977,Smart City Infrastructure,400,10,Ongoing,2023-10-19,2025-06-07
137,Karnataka,Belagavi,15.8497,74.4977,Hospital Development,375,40,Ongoing,2024-04-16,2026-04-01
138,Karnataka,Belagavi,15.8497,74.4977,Hospital Development,59,34,Ongoing,2024-04-28,2026-04-28
139,Karnataka,Belagavi,15.8497,74.4977,Metro Expansion,75,78,Near Completion,2025-08-01,2027-03-15
140,Karnataka,Ballari,15.1394,76.9214,Road Construction,135,36,Ongoing,2024-07-15,2025-04-17
141,Karnataka,Ballari,15.1394,76.9214,Metro Expansion,71,41,Ongoing,2025-02-03,2027-07-05
142,Karnataka,Ballari,15.1394,76.9214,Metro Expansion,115,99,Near Completion,2024-09-01,2026-09-10
143,Karnataka,Ballari,15.1394,76.9214,Smart City Infrastructure,119,62,Ongoing,2025-08-30,2026-08-10
144,Karnataka,Ballari,15.1394,76.9214,Metro Expansion,219,83,Near Completion,2023-07-27,2025-04-29
145,Karnataka,Ballari,15.1394,76.9214,Road Construction,22,92,Near Completion,2025-05-05,2027-05-02
146,Karnataka,Ballari,15.1394,76.9214,Hospital Development,350,85,Near Completion,2024-03-08,2025-07-01
147,Karnataka,Ballari,15.1394,76.9214,Solar Power Plant,76,78,Near Completion,2025-02-28,2027-02-07
148,Karnataka,Ballari,15.1394,76.9214,Hospital Development,116,12,Ongoing,2024-07-28,2026-11-28
149,Tamil Nadu,Chennai,13.0827,80.2707,Bridge Construction,204,62,Ongoing,2024-04-22,2026-03-09
150,Tamil Nadu,Chennai,13.0827,80.2707,Water Supply Project,344,16,Ongoing,2023-08-17,2024-10-26
151,Tamil Nadu,Chennai,13.0827,80.2707,Smart City Infrastructure,329,56,Ongoing,2025-01-14,2026-02-21
152,Tamil Nadu,Chennai,13.0827,80.2707,Solar Power Plant,353,63,Ongoing,2024-01-09,2025-02-27
153,Tamil Nadu,Chennai,13.0827,80.2707,Smart City Infrastructure,391,36,Ongoing,2025-08-19,2026-04-09
154,Tamil Nadu,Chennai,13.0827,80.2707,Bridge Construction,456,59,Ongoing,2024-01-14,2024-10-19
155,Tamil Nadu,Chennai,13.0827,80.2707,Water Supply Project,494,37,Ongoing,2025-02-21,2027-04-18
156,Tamil Nadu,Coimbatore,11.0168,76.9558,Water Supply Project,36,84,Near Completion,2025-06-04,2026-03-12
157,Tamil Nadu,Coimbatore,11.0168,76.9558,Solar Power Plant,333,5,Ongoing,2025-02-22,2026-12-02
158,Tamil Nadu,Coimbatore,11.0168,76.9558,Bridge Construction,318,22,Ongoing,2023-06-24,2024-10-04
159,Tamil Nadu,Coimbatore,11.0168,76.9558,Bridge Construction,373,41,Ongoing,2025-01-09,2026-03-08
160,Tamil Nadu,Coimbatore,11.0168,76.9558,School Infrastructure,292,86,Near Completion,2023-10-20,2026-01-23
161,Tamil Nadu,Coimbatore,11.0168,76.9558,Solar Power Plant,45,38,Ongoing,2025-11-15,2026-11-02
162,Tamil Nadu,Coimbatore,11.0168,76.9558,Hospital Development,42,32,Ongoing,2023-10-19,2025-10-29
163,Tamil Nadu,Coimbatore,11.0168,76.9558,Bridge Construction,47,88,Near Completion,2023-07-06,2024-08-16
164,Tamil Nadu,Coimbatore,11.0168,76.9558,Smart City Infrastructure,211,64,Ongoing,2025-11-12,2027-08-10
165,Tamil Nadu,Coimbatore,11.0168,76.9558,Solar Power Plant,316,53,Ongoing,2024-01-09,2026-02-12
166,Tamil Nadu,Coimbatore,11.0168,76.9558,Smart City Infrastructure,134,70,Ongoing,2024-09-17,2025-06-24
167,Tamil Nadu,Coimbatore,11.0168,76.9558,Road Construction,354,94,Near Completion,2024-08-27,2026-08-29
168,Tamil Nadu,Madurai,9.9252,78.1198,Metro Expansion,64,54,Ongoing,2024-03-19,2024-10-08
169,Tamil Nadu,Madurai,9.9252,78.1198,Road Construction,122,70,Ongoing,2025-11-26,2028-01-26
170,Tamil Nadu,Madurai,9.9252,78.1198,Water Supply Project,234,25,Ongoing,2023-12-15,2024-08-30
171,Tamil Nadu,Madurai,9.9252,78.1198,Hospital Development,320,86,Near Completion,2025-10-01,2027-05-27
172,Tamil Nadu,Madurai,9.9252,78.1198,Hospital Development,319,83,Near Completion,2025-11-21,2027-03-25
173,Tamil Nadu,Madurai,9.9252,78.1198,Metro Expansion,126,65,Ongoing,2025-09-07,2028-01-29
174,Tamil Nadu,Madurai,9.9252,78.1198,Hospital Development,22,1,Ongoing,2025-10-12,2027-06-16
175,Tamil Nadu,Madurai,9.9252,78.1198,Solar Power Plant,398,61,Ongoing,2023-07-03,2024-08-07
176,Tamil Nadu,Madurai,9.9252,78.1198,School Infrastructure,327,46,Ongoing,2024-04-12,2026-04-10
177,Tamil Nadu,Madurai,9.9252,78.1198,Water Supply Project,336,29,Ongoing,2025-05-21,2026-01-29
178,Tamil Nadu,Madurai,9.9252,78.1198,Solar Power Plant,59,38,Ongoing,2024-06-23,2026-10-28
179,Tamil Nadu,Tiruchirappalli,10.7905,78.7047,Solar Power Plant,390,10,Ongoing,2023-12-18,2026-02-20
180,Tamil Nadu,Tiruchirappalli,10.7905,78.7047,Metro Expansion,187,31,Ongoing,2024-01-02,2025-11-27
181,Tamil Nadu,Tiruchirappalli,10.7905,78.7047,Hospital Development,292,16,Ongoing,2024-07-04,2026-10-08
182,Tamil Nadu,Tiruchirappalli,10.7905,78.7047,Metro Expansion,417,30,Ongoing,2023-11-18,2026-02-19
183,Tamil Nadu,Tiruchirappalli,10.7905,78.7047,Hospital Development,234,70,Ongoing,2024-06-30,2026-07-16
184,Tamil Nadu,Tiruchirappalli,10.7905,78.7047,Water Supply Project,469,32,Ongoing,2023-08-15,2025-05-26
185,Tamil Nadu,Tiruchirappalli,10.7905,78.7047,Solar Power Plant,365,80,Near Completion,2023-10-15,2025-08-21
186,Tamil Nadu,Tiruchirappalli,10.7905,78.7047,Metro Expansion,78,66,Ongoing,2023-10-17,2025-12-23
187,Tamil Nadu,Tiruchirappalli,10.7905,78.7047,Road Construction,192,72,Near Completion,2024-04-24,2025-09-29
188,Tamil Nadu,Tiruchirappalli,10.7905,78.7047,Hospital Development,93,67,Ongoing,2024-06-26,2026-09-17
189,Tamil Nadu,Tiruchirappalli,10.7905,78.7047,Road Construction,473,87,Near Completion,2025-01-15,2026-08-09
190,Tamil Nadu,Tiruchirappalli,10.7905,78.7047,Solar Power Plant,495,22,Ongoing,2024-05-13,2025-09-21
191,Tamil Nadu,Tiruchirappalli,10.7905,78.7047,Bridge Construction,444,53,Ongoing,2023-11-25,2024-06-21
192,Tamil Nadu,Tiruchirappalli,10.7905,78.7047,Water Supply Project,128,59,Ongoing,2023-07-01,2025-02-07
193,Tamil Nadu,Salem,11.6643,78.146,School Infrastructure,26,72,Near Completion,2025-07-31,2027-10-22
194,Tamil Nadu,Salem,11.6643,78.146,Water Supply Project,139,100,Completed,2024-03-12,2026-02-25
195,Tamil Nadu,Salem,11.6643,78.146,Smart City Infrastructure,487,18,Ongoing,2025-02-23,2027-05-21
196,Tamil Nadu,Salem,11.6643,78.146,Road Construction,226,89,Near Completion,2024-03-21,2026-04-17
197,Tamil Nadu,Salem,11.6643,78.146,Metro Expansion,126,97,Near Completion,2024-03-03,2025-05-09
198,Tamil Nadu,Salem,11.6643,78.146,Road Construction,436,94,Near Completion,2023-07-19,2025-06-24
199,Tamil Nadu,Salem,11.6643,78.146,Smart City Infrastructure,392,48,Ongoing,2025-04-25,2026-09-03
200,Tamil Nadu,Salem,11.6643,78.146,Hospital Development,457,40,Ongoing,2025-01-30,2027-02-15
201,Tamil Nadu,Tirunelveli,8.7139,77.7567,Bridge Construction,191,11,Ongoing,2025-06-06,2026-07-29
202,Tamil Nadu,Tirunelveli,8.7139,77.7567,School Infrastructure,76,43,Ongoing,2025-04-08,2026-12-27
203,Tamil Nadu,Tirunelveli,8.7139,77.7567,School Infrastructure,354,90,Near Completion,2025-06-24,2027-06-08
204,Tamil Nadu,Tirunelveli,8.7139,77.7567,Solar Power Plant,360,43,Ongoing,2023-12-08,2024-09-21
205,Tamil Nadu,Tirunelveli,8.7139,77.7567,Water Supply Project,333,87,Near Completion,2024-01-07,2025-05-25
206,Tamil Nadu,Tirunelveli,8.7139,77.7567,Water Supply Project,398,87,Near Completion,2025-01-15,2026-08-28
207,Tamil Nadu,Tirunelveli,8.7139,77.7567,Smart City Infrastructure,69,74,Near Completion,2024-12-15,2026-08-19
208,Tamil Nadu,Tirunelveli,8.7139,77.7567,Hospital Development,468,61,Ongoing,2025-02-17,2025-12-23
209,Tamil Nadu,Tirunelveli,8.7139,77.7567,School Infrastructure,497,43,Ongoing,2025-01-12,2025-10-13
210,Tamil Nadu,Tirunelveli,8.7139,77.7567,Solar Power Plant,443,61,Ongoing,2023-12-15,2024-12-03
211,Tamil Nadu,Tirunelveli,8.7139,77.7567,Smart City Infrastructure,239,66,Ongoing,2024-08-08,2025-08-26
212,Tamil Nadu,Tirunelveli,8.7139,77.7567,Road Construction,346,30,Ongoing,2024-02-26,2025-09-02
213,Tamil Nadu,Tirunelveli,8.7139,77.7567,Metro Expansion,100,24,Ongoing,2024-07-16,2026-04-26
214,Tamil Nadu,Tirunelveli,8.7139,77.7567,Metro Expansion,146,91,Near Completion,2024-11-04,2025-07-31
215,Uttar Pradesh,Lucknow,26.8467,80.9462,Smart City Infrastructure,452,89,Near Completion,2024-09-15,2026-09-25
216,Uttar Pradesh,Lucknow,26.8467,80.9462,Bridge Construction,324,39,Ongoing,2023-07-20,2025-03-30
217,Uttar Pradesh,Lucknow,26.8467,80.9462,Metro Expansion,342,92,Near Completion,2025-03-28,2026-04-29
218,Uttar Pradesh,Lucknow,26.8467,80.9462,Road Construction,333,67,Ongoing,2025-02-17,2027-01-13
219,Uttar Pradesh,Lucknow,26.8467,80.9462,Hospital Development,158,91,Near Completion,2024-02-27,2025-12-17
220,Uttar Pradesh,Lucknow,26.8467,80.9462,Hospital Development,387,45,Ongoing,2023-12-01,2024-10-12
221,Uttar Pradesh,Lucknow,26.8467,80.9462,School Infrastructure,278,34,Ongoing,2024-07-09,2025-05-12
222,Uttar Pradesh,Lucknow,26.8467,80.9462,Road Construction,485,81,Near Completion,2025-07-23,2027-09-17
223,Uttar Pradesh,Lucknow,26.8467,80.9462,Hospital Development,331,7,Ongoing,2025-07-03,2026-04-10
224,Uttar Pradesh,Kanpur,26.4499,80.3319,Bridge Construction,232,61,Ongoing,2023-06-25,2024-07-24
225,Uttar Pradesh,Kanpur,26.4499,80.3319,Road Construction,168,99,Near Completion,2025-07-22,2027-04-21
226,Uttar Pradesh,Kanpur,26.4499,80.3319,Metro Expansion,269,38,Ongoing,2023-10-16,2026-03-25
227,Uttar Pradesh,Kanpur,26.4499,80.3319,Hospital Development,445,98,Near Completion,2024-04-26,2025-04-08
228,Uttar Pradesh,Kanpur,26.4499,80.3319,Metro Expansion,230,17,Ongoing,2023-10-05,2025-06-23
229,Uttar Pradesh,Kanpur,26.4499,80.3319,Road Construction,296,15,Ongoing,2024-02-02,2025-11-17
230,Uttar Pradesh,Kanpur,26.4499,80.3319,Water Supply Project,69,55,Ongoing,2025-09-26,2027-12-11
231,Uttar Pradesh,Varanasi,25.3176,82.9739,Hospital Development,259,98,Near Completion,2025-05-26,2027-04-25
232,Uttar Pradesh,Varanasi,25.3176,82.9739,School Infrastructure,202,0,Ongoing,2024-12-16,2025-12-04
233,Uttar Pradesh,Varanasi,25.3176,82.9739,Road Construction,158,91,Near Completion,2025-05-24,2027-07-22
234,Uttar Pradesh,Varanasi,25.3176,82.9739,Solar Power Plant,227,7,Ongoing,2025-03-05,2027-03-23
235,Uttar Pradesh,Varanasi,25.3176,82.9739,Smart City Infrastructure,319,4,Ongoing,2024-02-15,2025-05-02
236,Uttar Pradesh,Varanasi,25.3176,82.9739,Metro Expansion,112,55,Ongoing,2023-09-09,2025-09-15
237,Uttar Pradesh,Varanasi,25.3176,82.9739,Metro Expansion,306,65,Ongoing,2025-02-27,2026-02-08
238,Uttar Pradesh,Varanasi,25.3176,82.9739,Bridge Construction,500,74,Near Completion,2024-07-20,2025-02-20
239,Uttar Pradesh,Varanasi,25.3176,82.9739,Road Construction,130,100,Completed,2023-11-07,2025-08-02
240,Uttar Pradesh,Varanasi,25.3176,82.9739,Water Supply Project,428,49,Ongoing,2024-02-16,2025-12-17
241,Uttar Pradesh,Varanasi,25.3176,82.9739,School Infrastructure,106,68,Ongoing,2025-04-10,2026-02-04
242,Uttar Pradesh,Varanasi,25.3176,82.9739,Solar Power Plant,185,77,Near Completion,2025-05-07,2027-01-18
